01/01/2013 04:31,Neutral
01/01/2013 05:55,Bullish
01/01/2013 06:36,Bullish
01/01/2013 06:51,Bullish
01/01/2013 06:56,Bearish
01/01/2013 07:02,Bullish
01/01/2013 07:13,Bearish
01/01/2013 07:14,Bullish
01/01/2013 07:45,Bullish
01/01/2013 07:55,Bullish
01/01/2013 08:31,Bearish
01/01/2013 08:48,Bearish
01/01/2013 08:53,Bearish
01/01/2013 10:08,Bullish
01/01/2013 10:23,Bullish
01/01/2013 10:28,Bearish
01/01/2013 11:07,Bullish
01/01/2013 11:11,Neutral
01/01/2013 11:26,Bullish
01/01/2013 11:33,Bullish
01/01/2013 11:38,Neutral
01/01/2013 11:39,Bullish
01/01/2013 12:17,Neutral
01/01/2013 12:36,Bullish
01/01/2013 12:41,Bearish
01/01/2013 13:56,Bullish
01/01/2013 14:17,Bearish
01/01/2013 14:35,Bullish
01/01/2013 14:59,Bullish
01/01/2013 16:32,Bearish
01/01/2013 16:39,Bullish
01/01/2013 17:07,Neutral
01/01/2013 17:12,Neutral
01/01/2013 17:38,Neutral
01/01/2013 18:07,Bullish
01/01/2013 18:11,Bullish
01/01/2013 18:16,Bullish
01/01/2013 18:41,Bullish
01/01/2013 18:54,Bullish
01/01/2013 18:55,Neutral
01/01/2013 19:37,Neutral
01/01/2013 19:50,Bullish
01/01/2013 20:01,Neutral
01/01/2013 20:02,Bearish
01/01/2013 20:03,Neutral
01/01/2013 20:20,Bearish
01/01/2013 20:29,Bullish
01/01/2013 20:30,Bullish
01/01/2013 20:50,Neutral
01/01/2013 20:51,Bullish
01/01/2013 21:28,Neutral
01/01/2013 21:43,Bearish
01/01/2013 22:23,Bullish
01/01/2013 22:34,Bullish
01/02/2013 00:55,Bullish
01/02/2013 01:00,Bullish
01/02/2013 02:21,Bullish
01/02/2013 03:00,Neutral
01/02/2013 03:09,Bullish
01/02/2013 03:35,Bullish
01/02/2013 03:59,Neutral
01/02/2013 04:04,Bullish
01/02/2013 04:09,Bullish
01/02/2013 04:19,Bullish
01/02/2013 04:23,Bullish
01/02/2013 04:25,Bullish
01/02/2013 04:25,Bullish
01/02/2013 04:26,Neutral
01/02/2013 04:27,Bullish
01/02/2013 04:27,Bullish
01/02/2013 04:28,Neutral
01/02/2013 04:32,Bullish
01/02/2013 04:34,Bearish
01/02/2013 04:35,Bearish
01/02/2013 04:37,Bullish
01/02/2013 04:51,Bearish
01/02/2013 05:02,Bearish
01/02/2013 05:02,Bearish
01/02/2013 05:14,Bullish
01/02/2013 05:15,Bearish
01/02/2013 05:24,Neutral
01/02/2013 05:40,Bullish
01/02/2013 05:45,Bullish
01/02/2013 05:48,Bullish
01/02/2013 05:52,Bearish
01/02/2013 05:52,Bearish
01/02/2013 05:54,Bullish
01/02/2013 05:57,Bullish
01/02/2013 05:58,Bearish
01/02/2013 06:04,Bullish
01/02/2013 06:19,Bullish
01/02/2013 06:26,Bullish
01/02/2013 06:27,Bullish
01/02/2013 06:27,Bullish
01/02/2013 06:28,Bullish
01/02/2013 06:29,Bullish
01/02/2013 06:30,Bullish
01/02/2013 06:32,Bullish
01/02/2013 06:33,Bullish
01/02/2013 06:34,Bullish
01/02/2013 06:34,Bullish
01/02/2013 06:35,Bullish
01/02/2013 06:36,Bullish
01/02/2013 06:37,Bullish
01/02/2013 06:38,Neutral
01/02/2013 06:41,Neutral
01/02/2013 06:42,Bullish
01/02/2013 06:43,Bullish
01/02/2013 06:45,Neutral
01/02/2013 06:46,Neutral
01/02/2013 06:46,Bearish
01/02/2013 06:51,Neutral
01/02/2013 06:53,Bullish
01/02/2013 06:56,Bullish
01/02/2013 06:58,Bearish
01/02/2013 06:58,Bullish
01/02/2013 07:00,Neutral
01/02/2013 07:00,Bullish
01/02/2013 07:02,Bearish
01/02/2013 07:05,Bearish
01/02/2013 07:05,Bullish
01/02/2013 07:07,Bullish
01/02/2013 07:10,Neutral
01/02/2013 07:11,Neutral
01/02/2013 07:12,Neutral
01/02/2013 07:13,Bullish
01/02/2013 07:16,Bullish
01/02/2013 07:16,Neutral
01/02/2013 07:17,Bullish
01/02/2013 07:22,Bullish
01/02/2013 07:31,Bullish
